Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
64,3,SUCCESS,2,0.01,56.71,74.51,17801,144.4,709,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,56.7
78,3,SUCCESS,2,0.01,66.53,77.51,10974,131.4,359,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,66.52
82,3,SUCCESS,2,0.01,66.83,80.75,13911,114.3,444,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,66.82
99,3,SUCCESS,2,0.01,72.29,81.13,8836,133.4,445,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,72.28
80,3,SUCCESS,2,0.01,74.51,81.86,7349,145.8,604,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,74.5
86,3,SUCCESS,2,0.01,77.51,83.2,5698,168.3,691,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,77.5
103,3,SUCCESS,2,0.01,74.07,83.45,9382,130.3,760,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,74.06
68,3,SUCCESS,2,0.01,70.41,85.39,14981,96.3,646,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,70.4
102,3,SUCCESS,2,0.01,83.2,86.1,2898,126.6,365,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,83.19
93,3,SUCCESS,2,0.01,68.9,86.33,17430,128.4,409,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,68.89
105,3,SUCCESS,2,0.01,74.03,87.14,13101,130.5,597,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,74.02
115,3,SUCCESS,2,0.01,83.45,87.3,3843,126.3,678,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,83.44
94,3,SUCCESS,2,0.01,80.75,88.51,7767,114.3,621,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,80.73
113,3,SUCCESS,2,0.01,87.14,88.91,1773,156.5,946,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,87.12
107,3,SUCCESS,2,0.01,81.13,89.37,8244,114.1,583,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,81.12
117,3,SUCCESS,2,0.01,88.91,90.6,1694,91.5,403,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,88.9
119,3,SUCCESS,2,0.01,87.3,90.65,3359,75.7,339,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,87.29
84,3,SUCCESS,2,0.01,81.86,95.83,13973,103.7,693,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,81.85
